Date,Day no,New cases,New deaths
22/02/2020,0,58,0
23/02/2020,1,78,0
24/02/2020,2,72,4
25/02/2020,3,94,4
26/02/2020,4,147,0
27/02/2020,5,185,5
28/02/2020,6,234,4
29/02/2020,7,239,8
01/03/2020,8,573,12
02/03/2020,9,335,11
03/03/2020,10,466,27
04/03/2020,11,587,28
05/03/2020,12,769,41
06/03/2020,13,778,49
07/03/2020,14,1247,36
08/03/2020,15,1492,133
09/03/2020,16,1797,97
10/03/2020,17,977,168
11/03/2020,18,2313,196
12/03/2020,19,2651,189
13/03/2020,20,2547,250
14/03/2020,21,3497,175
15/03/2020,22,3590,368
16/03/2020,23,3233,349
17/03/2020,24,3526,345
18/03/2020,25,4207,475
19/03/2020,26,5322,427
20/03/2020,27,5986,627
21/03/2020,28,6557,793
22/03/2020,29,5560,651
23/03/2020,30,4789,601
24/03/2020,31,5249,743
25/03/2020,32,5210,683
26/03/2020,33,6203,712
27/03/2020,34,5909,919
